Player,Venue,Predicted Performance
A Badoni,"Arun Jaitley Stadium, Delhi",Bad
A Nortje,"Arun Jaitley Stadium, Delhi",Bad
AD Russell,"Arun Jaitley Stadium, Delhi",Good
AJ Hosein,"Arun Jaitley Stadium, Delhi",Poor
AK Markram,"Arun Jaitley Stadium, Delhi",Bad
AR Patel,"Arun Jaitley Stadium, Delhi",Average
AS Roy,"Arun Jaitley Stadium, Delhi",Bad
Abdul Samad,"Arun Jaitley Stadium, Delhi",Average
Abhishek Sharma,"Arun Jaitley Stadium, Delhi",Excellent
Abishek Porel,"Arun Jaitley Stadium, Delhi",Good
Aman Hakim Khan,"Arun Jaitley Stadium, Delhi",Bad
Anuj Rawat,"Arun Jaitley Stadium, Delhi",Bad
Arshad Khan,"Arun Jaitley Stadium, Delhi",Excellent
Avesh Khan,"Arun Jaitley Stadium, Delhi",Bad
Azmatullah Omarzai,"Arun Jaitley Stadium, Delhi",Bad
B Sai Sudharsan,"Arun Jaitley Stadium, Delhi",Excellent
C Green,"Arun Jaitley Stadium, Delhi",Poor
C Sakariya,"Arun Jaitley Stadium, Delhi",Bad
CV Varun,"Arun Jaitley Stadium, Delhi",Bad
D Ferreira,"Arun Jaitley Stadium, Delhi",Bad
DA Miller,"Arun Jaitley Stadium, Delhi",Excellent
DA Warner,"Arun Jaitley Stadium, Delhi",Good
DJ Hooda,"Arun Jaitley Stadium, Delhi",Bad
DP Conway,"Arun Jaitley Stadium, Delhi",Excellent
F du Plessis,"Arun Jaitley Stadium, Delhi",Excellent
GJ Maxwell,"Arun Jaitley Stadium, Delhi",Bad
Gulbadin Naib,"Arun Jaitley Stadium, Delhi",Poor
H Klaasen,"Arun Jaitley Stadium, Delhi",Good
HC Brook,"Arun Jaitley Stadium, Delhi",Bad
HH Pandya,"Arun Jaitley Stadium, Delhi",Average
Harpreet Brar,"Arun Jaitley Stadium, Delhi",Bad
Ishan Kishan,"Arun Jaitley Stadium, Delhi",Average
J Fraser-McGurk,"Arun Jaitley Stadium, Delhi",Excellent
JC Buttler,"Arun Jaitley Stadium, Delhi",Poor
JJ Roy,"Arun Jaitley Stadium, Delhi",Excellent
JM Sharma,"Arun Jaitley Stadium, Delhi",Bad
KD Karthik,"Arun Jaitley Stadium, Delhi",Poor
KH Pandya,"Arun Jaitley Stadium, Delhi",Poor
KL Rahul,"Arun Jaitley Stadium, Delhi",Bad
Kuldeep Yadav,"Arun Jaitley Stadium, Delhi",Bad
L Wood,"Arun Jaitley Stadium, Delhi",Bad
LS Livingstone,"Arun Jaitley Stadium, Delhi",Bad
Lalit Yadav,"Arun Jaitley Stadium, Delhi",Bad
Liton Das,"Arun Jaitley Stadium, Delhi",Bad
M Shahrukh Khan,"Arun Jaitley Stadium, Delhi",Bad
MA Agarwal,"Arun Jaitley Stadium, Delhi",Bad
MK Lomror,"Arun Jaitley Stadium, Delhi",Excellent
MK Pandey,"Arun Jaitley Stadium, Delhi",Poor
MP Stoinis,"Arun Jaitley Stadium, Delhi",Bad
MR Marsh,"Arun Jaitley Stadium, Delhi",Poor
MS Dhoni,"Arun Jaitley Stadium, Delhi",Bad
Mandeep Singh,"Arun Jaitley Stadium, Delhi",Poor
Mohammad Nabi,"Arun Jaitley Stadium, Delhi",Bad
Mukesh Kumar,"Arun Jaitley Stadium, Delhi",Bad
Mustafizur Rahman,"Arun Jaitley Stadium, Delhi",Bad
N Pooran,"Arun Jaitley Stadium, Delhi",Excellent
N Rana,"Arun Jaitley Stadium, Delhi",Bad
N Wadhera,"Arun Jaitley Stadium, Delhi",Bad
Naveen-ul-Haq,"Arun Jaitley Stadium, Delhi",Bad
Nithish Kumar Reddy,"Arun Jaitley Stadium, Delhi",Good
P Dubey,"Arun Jaitley Stadium, Delhi",Poor
P Simran Singh,"Arun Jaitley Stadium, Delhi",Excellent
PD Salt,"Arun Jaitley Stadium, Delhi",Good
PJ Cummins,"Arun Jaitley Stadium, Delhi",Bad
PK Garg,"Arun Jaitley Stadium, Delhi",Poor
PP Chawla,"Arun Jaitley Stadium, Delhi",Poor
PP Shaw,"Arun Jaitley Stadium, Delhi",Poor
Q de Kock,"Arun Jaitley Stadium, Delhi",Poor
R Ashwin,"Arun Jaitley Stadium, Delhi",Bad
R Parag,"Arun Jaitley Stadium, Delhi",Average
R Powell,"Arun Jaitley Stadium, Delhi",Bad
R Sai Kishore,"Arun Jaitley Stadium, Delhi",Poor
R Tewatia,"Arun Jaitley Stadium, Delhi",Bad
RA Jadeja,"Arun Jaitley Stadium, Delhi",Average
RA Tripathi,"Arun Jaitley Stadium, Delhi",Poor
RD Gaikwad,"Arun Jaitley Stadium, Delhi",Excellent
RG Sharma,"Arun Jaitley Stadium, Delhi",Good
RK Singh,"Arun Jaitley Stadium, Delhi",Bad
RR Pant,"Arun Jaitley Stadium, Delhi",Excellent
RR Rossouw,"Arun Jaitley Stadium, Delhi",Poor
RV Patel,"Arun Jaitley Stadium, Delhi",Poor
Rashid Khan,"Arun Jaitley Stadium, Delhi",Average
Rasikh Salam,"Arun Jaitley Stadium, Delhi",Bad
Ravi Bishnoi,"Arun Jaitley Stadium, Delhi",Bad
S Dhawan,"Arun Jaitley Stadium, Delhi",Bad
S Dube,"Arun Jaitley Stadium, Delhi",Average
SA Yadav,"Arun Jaitley Stadium, Delhi",Poor
SB Dubey,"Arun Jaitley Stadium, Delhi",Average
SD Hope,"Arun Jaitley Stadium, Delhi",Average
SM Curran,"Arun Jaitley Stadium, Delhi",Average
SN Khan,"Arun Jaitley Stadium, Delhi",Poor
SP Narine,"Arun Jaitley Stadium, Delhi",Bad
SV Samson,"Arun Jaitley Stadium, Delhi",Excellent
Shahbaz Ahmed,"Arun Jaitley Stadium, Delhi",Excellent
Shubman Gill,"Arun Jaitley Stadium, Delhi",Poor
Sikandar Raza,"Arun Jaitley Stadium, Delhi",Poor
T Stubbs,"Arun Jaitley Stadium, Delhi",Good
TA Boult,"Arun Jaitley Stadium, Delhi",Bad
TH David,"Arun Jaitley Stadium, Delhi",Average
TM Head,"Arun Jaitley Stadium, Delhi",Excellent
Tilak Varma,"Arun Jaitley Stadium, Delhi",Excellent
UT Yadav,"Arun Jaitley Stadium, Delhi",Bad
V Kohli,"Arun Jaitley Stadium, Delhi",Excellent
V Shankar,"Arun Jaitley Stadium, Delhi",Average
VR Iyer,"Arun Jaitley Stadium, Delhi",Bad
WP Saha,"Arun Jaitley Stadium, Delhi",Average
YBK Jaiswal,"Arun Jaitley Stadium, Delhi",Bad
YV Dhull,"Arun Jaitley Stadium, Delhi",Bad
Yudhvir Singh,"Arun Jaitley Stadium, Delhi",Poor
A Nortje,"Barsapara Cricket Stadium, Guwahati",Bad
AR Patel,"Barsapara Cricket Stadium, Guwahati",Bad
Abishek Porel,"Barsapara Cricket Stadium, Guwahati",Bad
Ashutosh Sharma,"Barsapara Cricket Stadium, Guwahati",Poor
Avesh Khan,"Barsapara Cricket Stadium, Guwahati",Bad
D Ferreira,"Barsapara Cricket Stadium, Guwahati",Bad
D Padikkal,"Barsapara Cricket Stadium, Guwahati",Average
DA Warner,"Barsapara Cricket Stadium, Guwahati",Excellent
Dhruv Jurel,"Barsapara Cricket Stadium, Guwahati",Poor
JC Buttler,"Barsapara Cricket Stadium, Guwahati",Excellent
JM Bairstow,"Barsapara Cricket Stadium, Guwahati",Poor
JM Sharma,"Barsapara Cricket Stadium, Guwahati",Average
JO Holder,"Barsapara Cricket Stadium, Guwahati",Bad
Kuldeep Yadav,"Barsapara Cricket Stadium, Guwahati",Bad
Lalit Yadav,"Barsapara Cricket Stadium, Guwahati",Good
M Shahrukh Khan,"Barsapara Cricket Stadium, Guwahati",Poor
MK Pandey,"Barsapara Cricket Stadium, Guwahati",Bad
Mukesh Kumar,"Barsapara Cricket Stadium, Guwahati",Bad
P Simran Singh,"Barsapara Cricket Stadium, Guwahati",Good
PBB Rajapaksa,"Barsapara Cricket Stadium, Guwahati",Bad
PP Shaw,"Barsapara Cricket Stadium, Guwahati",Bad
R Ashwin,"Barsapara Cricket Stadium, Guwahati",Poor
R Parag,"Barsapara Cricket Stadium, Guwahati",Average
R Powell,"Barsapara Cricket Stadium, Guwahati",Bad
RR Rossouw,"Barsapara Cricket Stadium, Guwahati",Poor
S Dhawan,"Barsapara Cricket Stadium, Guwahati",Excellent
SM Curran,"Barsapara Cricket Stadium, Guwahati",Good
SO Hetmyer,"Barsapara Cricket Stadium, Guwahati",Good
SV Samson,"Barsapara Cricket Stadium, Guwahati",Average
Shashank Singh,"Barsapara Cricket Stadium, Guwahati",Bad
Sikandar Raza,"Barsapara Cricket Stadium, Guwahati",Bad
T Kohler-Cadmore,"Barsapara Cricket Stadium, Guwahati",Poor
TA Boult,"Barsapara Cricket Stadium, Guwahati",Poor
YBK Jaiswal,"Barsapara Cricket Stadium, Guwahati",Average
A Badoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
A Manohar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
A Raghuvanshi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
AA Kulkarni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
AD Russell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
AJ Turner,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
AK Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
AM Rahane,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
AR Patel,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
AU Rashid,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Abdul Samad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
Aman Hakim Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Anmolpreet Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
Anuj Rawat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Arshad Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
Atharva Taide,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
B Sai Sudharsan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
BR Sharath,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
C Green,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
C Sakariya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
D Padikkal,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
DA Miller,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
DA Warner,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
DG Nalkande,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
DJ Hooda,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
Dhruv Jurel,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
F du Plessis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
G Coetzee,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
GJ Maxwell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
HC Brook,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
HH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
Harpreet Brar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Harpreet Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
Ishan Kishan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
J Fraser-McGurk,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
JC Buttler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
JM Bairstow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
JM Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
JR Hazlewood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
K Gowtham,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
K Rabada,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
KD Karthik,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
KH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
KL Rahul,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
KR Mayers,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
KS Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
KS Williamson,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
KV Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Kuldeep Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
LS Livingstone,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
M Shahrukh Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
M Vohra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
MA Agarwal,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
MK Lomror,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
MM Ali,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
MR Marsh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
MS Dhoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
MW Short,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
Mohammad Nabi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Mohammed Siraj,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Mohsin Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Mukesh Kumar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
N Pooran,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
N Wadhera,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
Naveen-ul-Haq,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
Noor Ahmad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
P Simran Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
PD Salt,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
PN Mankad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
PP Shaw,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
PWH de Silva,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Q de Kock,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
R Parag,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
R Powell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
R Ravindra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
R Shepherd,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
R Tewatia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
RA Jadeja,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
RA Tripathi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
RD Gaikwad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
RG Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
RK Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
RR Pant,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
RR Rossouw,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
Ramandeep Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
Rashid Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Ravi Bishnoi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
S Dhawan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
S Dube,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
SA Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
SD Hope,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
SH Johnson,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
SM Curran,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
SN Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
SP Narine,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
SS Iyer,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
SS Prabhudessai,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
SV Samson,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
Sameer Rizvi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Shashank Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Shubman Gill,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
T Stubbs,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
TH David,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
Tilak Varma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
UT Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
V Kohli,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Good
V Shankar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
VR Iyer,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
Vishnu Vinod,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
WP Saha,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Excellent
Washington Sundar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Poor
YBK Jaiswal,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Average
Yudhvir Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bad
A Badoni,"Brabourne Stadium, Mumbai",Bad
AD Russell,"Brabourne Stadium, Mumbai",Average
AJ Finch,"Brabourne Stadium, Mumbai",Good
AK Markram,"Brabourne Stadium, Mumbai",Excellent
AM Rahane,"Brabourne Stadium, Mumbai",Bad
AR Patel,"Brabourne Stadium, Mumbai",Good
AT Rayudu,"Brabourne Stadium, Mumbai",Poor
Abhishek Sharma,"Brabourne Stadium, Mumbai",Poor
Aman Hakim Khan,"Brabourne Stadium, Mumbai",Bad
Anmolpreet Singh,"Brabourne Stadium, Mumbai",Bad
Anuj Rawat,"Brabourne Stadium, Mumbai",Bad
Arshdeep Singh,"Brabourne Stadium, Mumbai",Bad
Avesh Khan,"Brabourne Stadium, Mumbai",Bad
B Kumar,"Brabourne Stadium, Mumbai",Bad
B Sai Sudharsan,"Brabourne Stadium, Mumbai",Average
CJ Jordan,"Brabourne Stadium, Mumbai",Bad
CV Varun,"Brabourne Stadium, Mumbai",Bad
D Brevis,"Brabourne Stadium, Mumbai",Good
D Padikkal,"Brabourne Stadium, Mumbai",Average
D Pretorius,"Brabourne Stadium, Mumbai",Bad
DA Miller,"Brabourne Stadium, Mumbai",Average
DA Warner,"Brabourne Stadium, Mumbai",Excellent
DJ Bravo,"Brabourne Stadium, Mumbai",Bad
DJ Hooda,"Brabourne Stadium, Mumbai",Average
DP Conway,"Brabourne Stadium, Mumbai",Poor
DR Sams,"Brabourne Stadium, Mumbai",Bad
E Lewis,"Brabourne Stadium, Mumbai",Excellent
F du Plessis,"Brabourne Stadium, Mumbai",Bad
FA Allen,"Brabourne Stadium, Mumbai",Bad
GJ Maxwell,"Brabourne Stadium, Mumbai",Average
HH Pandya,"Brabourne Stadium, Mumbai",Poor
HV Patel,"Brabourne Stadium, Mumbai",Bad
Harpreet Brar,"Brabourne Stadium, Mumbai",Bad
Ishan Kishan,"Brabourne Stadium, Mumbai",Excellent
JC Buttler,"Brabourne Stadium, Mumbai",Good
JD Unadkat,"Brabourne Stadium, Mumbai",Poor
JDS Neesham,"Brabourne Stadium, Mumbai",Poor
JM Bairstow,"Brabourne Stadium, Mumbai",Average
JM Sharma,"Brabourne Stadium, Mumbai",Average
JO Holder,"Brabourne Stadium, Mumbai",Bad
JR Hazlewood,"Brabourne Stadium, Mumbai",Bad
K Rabada,"Brabourne Stadium, Mumbai",Bad
KA Pollard,"Brabourne Stadium, Mumbai",Poor
KD Karthik,"Brabourne Stadium, Mumbai",Bad
KH Pandya,"Brabourne Stadium, Mumbai",Poor
KK Nair,"Brabourne Stadium, Mumbai",Bad
KL Rahul,"Brabourne Stadium, Mumbai",Excellent
KS Williamson,"Brabourne Stadium, Mumbai",Poor
Kartik Tyagi,"Brabourne Stadium, Mumbai",Bad
LS Livingstone,"Brabourne Stadium, Mumbai",Excellent
Lalit Yadav,"Brabourne Stadium, Mumbai",Average
M Ashwin,"Brabourne Stadium, Mumbai",Bad
M Shahrukh Khan,"Brabourne Stadium, Mumbai",Poor
MA Agarwal,"Brabourne Stadium, Mumbai",Poor
MJ Santner,"Brabourne Stadium, Mumbai",Bad
MK Lomror,"Brabourne Stadium, Mumbai",Poor
MK Pandey,"Brabourne Stadium, Mumbai",Average
MM Ali,"Brabourne Stadium, Mumbai",Excellent
MP Stoinis,"Brabourne Stadium, Mumbai",Poor
MR Marsh,"Brabourne Stadium, Mumbai",Poor
MS Dhoni,"Brabourne Stadium, Mumbai",Average
MS Wade,"Brabourne Stadium, Mumbai",Bad
Mandeep Singh,"Brabourne Stadium, Mumbai",Bad
Mohammed Siraj,"Brabourne Stadium, Mumbai",Bad
Mohsin Khan,"Brabourne Stadium, Mumbai",Bad
Mukesh Choudhary,"Brabourne Stadium, Mumbai",Bad
N Jagadeesan,"Brabourne Stadium, Mumbai",Bad
N Pooran,"Brabourne Stadium, Mumbai",Good
N Rana,"Brabourne Stadium, Mumbai",Good
NT Ellis,"Brabourne Stadium, Mumbai",Bad
OF Smith,"Brabourne Stadium, Mumbai",Bad
PBB Rajapaksa,"Brabourne Stadium, Mumbai",Bad
PJ Cummins,"Brabourne Stadium, Mumbai",Bad
PP Shaw,"Brabourne Stadium, Mumbai",Excellent
PVD Chameera,"Brabourne Stadium, Mumbai",Bad
PWH de Silva,"Brabourne Stadium, Mumbai",Bad
Q de Kock,"Brabourne Stadium, Mumbai",Good
R Ashwin,"Brabourne Stadium, Mumbai",Poor
R Dhawan,"Brabourne Stadium, Mumbai",Bad
R Parag,"Brabourne Stadium, Mumbai",Poor
R Powell,"Brabourne Stadium, Mumbai",Average
R Tewatia,"Brabourne Stadium, Mumbai",Poor
RA Jadeja,"Brabourne Stadium, Mumbai",Bad
RA Tripathi,"Brabourne Stadium, Mumbai",Good
RD Chahar,"Brabourne Stadium, Mumbai",Poor
RD Gaikwad,"Brabourne Stadium, Mumbai",Bad
RG Sharma,"Brabourne Stadium, Mumbai",Good
RM Patidar,"Brabourne Stadium, Mumbai",Good
RR Pant,"Brabourne Stadium, Mumbai",Poor
RV Uthappa,"Brabourne Stadium, Mumbai",Good
Rashid Khan,"Brabourne Stadium, Mumbai",Bad
Rasikh Salam,"Brabourne Stadium, Mumbai",Bad
S Dhawan,"Brabourne Stadium, Mumbai",Average
S Dube,"Brabourne Stadium, Mumbai",Excellent
S Gopal,"Brabourne Stadium, Mumbai",Bad
SA Abbott,"Brabourne Stadium, Mumbai",Bad
SA Yadav,"Brabourne Stadium, Mumbai",Average
SN Khan,"Brabourne Stadium, Mumbai",Poor
SN Thakur,"Brabourne Stadium, Mumbai",Average
SO Hetmyer,"Brabourne Stadium, Mumbai",Poor
SP Jackson,"Brabourne Stadium, Mumbai",Bad
SP Narine,"Brabourne Stadium, Mumbai",Bad
SS Iyer,"Brabourne Stadium, Mumbai",Excellent
SS Prabhudessai,"Brabourne Stadium, Mumbai",Poor
SV Samson,"Brabourne Stadium, Mumbai",Average
SW Billings,"Brabourne Stadium, Mumbai",Poor
Shahbaz Ahmed,"Brabourne Stadium, Mumbai",Bad
Shashank Singh,"Brabourne Stadium, Mumbai",Poor
Shivam Mavi,"Brabourne Stadium, Mumbai",Bad
