bowler,venue,matches_played,total_runs_conceded,balls_bowled,economy,total_wickets,Bowling_Strike_Rate,Performance
Arshdeep Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,53,38,8.37,3,12.666666666666666,Average
Arshdeep Singh,"Brabourne Stadium, Mumbai",4,89,71,7.52,2,35.5,Good
Arshdeep Singh,"Dr DY Patil Sports Academy, Mumbai",4,146,104,8.42,5,20.8,Average
Arshdeep Singh,"Eden Gardens, Kolkata",2,84,54,9.33,3,18.0,Average
Arshdeep Singh,Himachal Pradesh Cricket Association Stadium (Dharamsala),4,146,86,10.19,4,21.5,Poor
Arshdeep Singh,"M.Chinnaswamy Stadium, Bengaluru",1,42,23,10.96,0,NA,Bad
Arshdeep Singh,"MA Chidambaram Stadium, Chennai",2,89,56,9.54,3,18.666666666666668,Average
Arshdeep Singh,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,1,45,24,11.25,1,24.0,Poor
Arshdeep Singh,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4,109,84,7.79,7,12.0,Excellent
Arshdeep Singh,"Maharashtra Cricket Association Stadium, Pune",2,56,49,6.86,2,24.5,Excellent
Arshdeep Singh,"Narendra Modi Stadium, Ahmedabad",1,37,24,9.25,0,NA,Poor
Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,208,118,10.58,7,16.857142857142858,Bad
Arshdeep Singh,"Rajiv Gandhi International Stadium, Hyderabad",2,58,43,8.09,3,14.333333333333334,Good
Arshdeep Singh,"Wankhede Stadium, Mumbai",5,140,118,7.12,7,16.857142857142858,Good
Atharva Taide,"Rajiv Gandhi International Stadium, Hyderabad",1,4,1,24.0,0,NA,Bad
Avesh Khan,"Arun Jaitley Stadium, Delhi",1,42,12,21.0,0,NA,Bad
Avesh Khan,"Barsapara Cricket Stadium, Guwahati",1,28,23,7.3,2,11.5,Excellent
Avesh Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4,117,87,8.07,3,29.0,Average
Avesh Khan,"Brabourne Stadium, Mumbai",3,93,67,8.33,6,11.166666666666666,Excellent
Avesh Khan,"Dr DY Patil Sports Academy, Mumbai",4,149,96,9.31,4,24.0,Poor
Avesh Khan,"Eden Gardens, Kolkata",2,83,51,9.76,3,17.0,Average
Avesh Khan,"M.Chinnaswamy Stadium, Bengaluru",1,55,24,13.75,0,NA,Bad
Avesh Khan,"MA Chidambaram Stadium, Chennai",3,78,58,8.07,6,9.666666666666666,Excellent
Avesh Khan,Maharaja Yadavindra Singh International Cricket St (Mullanpur) ,1,35,24,8.75,2,12.0,Excellent
Avesh Khan,"Maharashtra Cricket Association Stadium, Pune",3,72,64,6.75,5,12.8,Excellent
Avesh Khan,"Narendra Modi Stadium, Ahmedabad",2,79,48,9.88,4,12.0,Excellent
Avesh Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,28,12,14.0,0,NA,Bad
Avesh Khan,"Rajiv Gandhi International Stadium, Hyderabad",2,69,39,10.62,3,13.0,Good
Avesh Khan,"Sawai Mansingh Stadium, Jaipur",6,219,145,9.06,7,20.714285714285715,Poor
Avesh Khan,"Wankhede Stadium, Mumbai",3,96,72,8.0,4,18.0,Average
Azmatullah Omarzai,"Arun Jaitley Stadium, Delhi",1,34,24,8.5,0,NA,Average
Azmatullah Omarzai,"MA Chidambaram Stadium, Chennai",1,31,19,9.79,0,NA,Poor
Azmatullah Omarzai,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,13,12,6.5,0,NA,Excellent
Azmatullah Omarzai,"Narendra Modi Stadium, Ahmedabad",4,116,76,9.16,4,19.0,Average
B Kumar,"Arun Jaitley Stadium, Delhi",2,79,54,8.78,2,27.0,Average
B Kumar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,19,13,8.77,1,13.0,Good
B Kumar,"Brabourne Stadium, Mumbai",3,73,62,7.06,3,20.666666666666668,Good
B Kumar,"Dr DY Patil Sports Academy, Mumbai",4,122,104,7.04,6,17.333333333333332,Good
B Kumar,"Eden Gardens, Kolkata",2,81,52,9.35,1,52.0,Poor
B Kumar,"M.Chinnaswamy Stadium, Bengaluru",1,60,28,12.86,0,NA,Bad
B Kumar,"MA Chidambaram Stadium, Chennai",4,108,67,9.67,1,67.0,Poor
B Kumar,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,33,26,7.62,2,13.0,Good
B Kumar,"Maharashtra Cricket Association Stadium, Pune",3,83,80,6.22,2,40.0,Excellent
B Kumar,"Narendra Modi Stadium, Ahmedabad",3,90,67,8.06,6,11.166666666666666,Excellent
B Kumar,"Rajiv Gandhi International Stadium, Hyderabad",13,416,294,8.49,14,21.0,Average
B Kumar,"Sawai Mansingh Stadium, Jaipur",1,44,26,10.15,1,26.0,Bad
B Kumar,"Wankhede Stadium, Mumbai",6,173,133,7.8,4,33.25,Good
BA Stokes,"MA Chidambaram Stadium, Chennai",1,18,6,18.0,0,NA,Bad
Basil Thampi,"Brabourne Stadium, Mumbai",1,39,27,8.67,3,9.0,Excellent
Basil Thampi,"Dr DY Patil Sports Academy, Mumbai",1,26,6,26.0,0,NA,Bad
Basil Thampi,"Maharashtra Cricket Association Stadium, Pune",3,93,69,8.09,2,34.5,Average
C Green,"Arun Jaitley Stadium, Delhi",1,30,19,9.47,0,NA,Poor
C Green,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,17,12,8.5,1,12.0,Excellent
C Green,"Eden Gardens, Kolkata",1,36,26,8.31,2,13.0,Good
C Green,Himachal Pradesh Cricket Association Stadium (Dharamsala),1,16,6,16.0,0,NA,Bad
C Green,"M.Chinnaswamy Stadium, Bengaluru",7,147,106,8.32,5,21.2,Average
C Green,"MA Chidambaram Stadium, Chennai",3,52,47,6.64,3,15.666666666666666,Excellent
C Green,"Narendra Modi Stadium, Ahmedabad",4,145,73,11.92,2,36.5,Bad
C Green,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,15,12,7.5,0,NA,Good
C Green,"Rajiv Gandhi International Stadium, Hyderabad",2,44,38,6.95,3,12.666666666666666,Excellent
C Green,"Sawai Mansingh Stadium, Jaipur",1,27,20,8.1,0,NA,Average
C Green,"Wankhede Stadium, Mumbai",7,146,103,8.5,4,25.75,Average
C Sakariya,"Arun Jaitley Stadium, Delhi",1,36,28,7.71,1,28.0,Good
C Sakariya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,53,27,11.78,2,13.5,Good
C Sakariya,"Dr DY Patil Sports Academy, Mumbai",1,23,27,5.11,2,13.5,Excellent
C Sakariya,"Wankhede Stadium, Mumbai",2,64,44,8.73,1,44.0,Average
CJ Jordan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,50,26,11.54,0,NA,Bad
CJ Jordan,"Brabourne Stadium, Mumbai",1,23,25,5.52,3,8.333333333333334,Excellent
CJ Jordan,"Dr DY Patil Sports Academy, Mumbai",2,54,31,10.45,0,NA,Bad
CJ Jordan,"MA Chidambaram Stadium, Chennai",1,7,12,3.5,1,12.0,Excellent
CJ Jordan,"Maharashtra Cricket Association Stadium, Pune",1,59,24,14.75,0,NA,Bad
CJ Jordan,"Narendra Modi Stadium, Ahmedabad",1,56,28,12.0,0,NA,Bad
CJ Jordan,"Wankhede Stadium, Mumbai",3,128,74,10.38,2,37.0,Bad
CV Varun,"Arun Jaitley Stadium, Delhi",1,17,24,4.25,2,12.0,Excellent
CV Varun,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,30,18,10.0,3,6.0,Excellent
CV Varun,"Brabourne Stadium, Mumbai",3,123,57,12.95,1,57.0,Bad
CV Varun,"Dr DY Patil Sports Academy, Mumbai",4,121,88,8.25,2,44.0,Average
CV Varun,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,38,27,8.44,3,9.0,Excellent
CV Varun,"Eden Gardens, Kolkata",14,486,329,8.86,20,16.45,Average
CV Varun,"M.Chinnaswamy Stadium, Bengaluru",2,47,36,7.83,3,12.0,Excellent
CV Varun,"MA Chidambaram Stadium, Chennai",3,74,61,7.28,3,20.33333333333333,Good
CV Varun,"Maharashtra Cricket Association Stadium, Pune",2,57,49,6.98,2,24.5,Excellent
CV Varun,"Narendra Modi Stadium, Ahmedabad",2,53,39,8.15,2,19.5,Average
CV Varun,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,27,25,6.48,1,25.0,Excellent
CV Varun,"Rajiv Gandhi International Stadium, Hyderabad",1,24,24,6.0,1,24.0,Excellent
CV Varun,"Wankhede Stadium, Mumbai",4,97,100,5.82,4,25.0,Excellent
D Brevis,"Maharashtra Cricket Association Stadium, Pune",1,8,3,16.0,1,3.0,Excellent
D Jansen,"Wankhede Stadium, Mumbai",1,53,28,11.36,1,28.0,Bad
D Pretorius,"Brabourne Stadium, Mumbai",2,63,55,6.87,4,13.75,Excellent
D Pretorius,"Dr DY Patil Sports Academy, Mumbai",1,17,12,8.5,0,NA,Average
D Pretorius,"Maharashtra Cricket Association Stadium, Pune",2,83,45,11.07,3,15.0,Good
D Pretorius,"Wankhede Stadium, Mumbai",2,79,54,8.78,0,NA,Average
D Wiese,"Eden Gardens, Kolkata",1,38,18,12.67,0,NA,Bad
DG Nalkande,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,21,12,10.5,2,6.0,Excellent
DG Nalkande,"Brabourne Stadium, Mumbai",1,37,19,11.68,2,9.5,Excellent
DG Nalkande,"Dr DY Patil Sports Academy, Mumbai",1,22,14,9.43,0,NA,Poor
DG Nalkande,"MA Chidambaram Stadium, Chennai",1,45,25,10.8,1,25.0,Bad
DG Nalkande,"Narendra Modi Stadium, Ahmedabad",2,25,19,7.89,1,19.0,Good
DJ Bravo,"Brabourne Stadium, Mumbai",2,68,47,8.68,2,23.5,Average
DJ Bravo,"Dr DY Patil Sports Academy, Mumbai",4,134,93,8.65,6,15.5,Good
DJ Bravo,"Maharashtra Cricket Association Stadium, Pune",1,23,24,5.75,3,8.0,Excellent
DJ Bravo,"Wankhede Stadium, Mumbai",3,78,65,7.2,6,10.833333333333334,Excellent
DJ Hooda,"Arun Jaitley Stadium, Delhi",1,9,7,7.71,0,NA,Good
DJ Hooda,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,21,18,7.0,0,NA,Good
DJ Hooda,"Brabourne Stadium, Mumbai",1,12,6,12.0,0,NA,Bad
DJ Hooda,"Wankhede Stadium, Mumbai",1,31,18,10.33,1,18.0,Average
DJ Mitchell,"Dr DY Patil Sports Academy, Mumbai",1,20,6,20.0,0,NA,Bad
DJ Mitchell,"MA Chidambaram Stadium, Chennai",1,18,13,8.31,1,13.0,Good
DJ Mitchell,"Maharashtra Cricket Association Stadium, Pune",1,7,7,6.0,0,NA,Excellent
DJ Mitchell,"Narendra Modi Stadium, Ahmedabad",1,52,25,12.48,0,NA,Bad
DJ Willey,"Dr DY Patil Sports Academy, Mumbai",2,36,30,7.2,0,NA,Good
DJ Willey,"Eden Gardens, Kolkata",1,16,25,3.84,2,12.5,Excellent
DJ Willey,"M.Chinnaswamy Stadium, Bengaluru",3,90,69,7.83,2,34.5,Good
DJ Willey,"Maharashtra Cricket Association Stadium, Pune",1,8,12,4.0,0,NA,Excellent
DJ Willey,"Wankhede Stadium, Mumbai",1,31,24,7.75,1,24.0,Good
DL Chahar,"Arun Jaitley Stadium, Delhi",1,22,24,5.5,3,8.0,Excellent
DL Chahar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,67,42,9.57,0,NA,Poor
DL Chahar,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam) ,1,42,24,10.5,0,NA,Bad
