Player,Runs,Balls_Faced,Fours,Sixes,Not_Outs,Dismissals,Batting_Average,Strike_Rate,Wickets,Overs_Bowled,Runs_Conceded,Economy,Bowling_Strike_Rate,Bowling_Average,Catches,Stumpings,Run_Outs,Matches_Played
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,5.0,11.0,158.0,14.36,13.2,31.6,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1.0,4.0,53.0,13.25,24.0,53.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,0.0,4.0,48.0,12.0,NA,NA,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,42.0,14.0,NA,NA,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,0.0,5.0,62.0,12.4,NA,NA,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1.0,4.0,42.0,10.5,24.0,42.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,3.0,4.0,16.0,4.0,8.0,5.33,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,13.0,17.0,341.0,20.06,7.85,26.23,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,27.0,9.0,NA,NA,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,2.0,4.0,64.0,16.0,12.0,32.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1.0,4.0,90.0,22.5,24.0,90.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1.0,3.0,29.0,9.67,18.0,29.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,5.0,10.0,129.0,12.9,12.0,25.8,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1.0,3.0,32.0,10.67,18.0,32.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,38.0,13.0,617.0,47.46,2.05,16.24,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1.0,4.0,72.0,18.0,24.0,72.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1.0,7.0,112.0,16.0,42.0,112.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,8.0,11.0,88.0,8.0,8.25,11.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,7.0,9.0,152.0,16.89,7.71,21.71,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,8.0,12.0,259.0,21.58,9.0,32.38,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,35.0,17.5,NA,NA,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,2.0,4.0,39.0,9.75,12.0,19.5,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,0.0,4.0,34.0,8.5,NA,NA,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,3.0,6.0,60.0,10.0,12.0,20.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,0.0,4.0,51.0,12.75,NA,NA,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,6.0,7.0,137.0,19.57,7.0,22.83,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1.0,6.0,52.0,8.67,36.0,52.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,11.0,14.0,381.0,27.21,7.64,34.64,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,55.0,17.0,1365.0,80.29,1.85,24.82,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,2.0,4.0,36.0,9.0,12.0,18.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,2.0,5.0,53.0,10.6,15.0,26.5,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,27.0,18.0,702.0,39.0,4.0,26.0,NA,NA,NA,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,1.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,0.0,3.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,1.0,0
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,0.0,1.0,0
